Edition,Gender,Sport,Medal_Bronze,Medal_Gold,Medal_Silver,Total_Medals
1896,Men,Artistic_G,7,28,10,45
1896,Men,Athletics,12,12,13,37
1896,Men,Cycling_Road,1,1,1,3
1896,Men,Cycling_Track,3,5,5,13
1896,Men,Fencing,2,3,3,8
1896,Men,Shooting,5,5,5,15
1896,Men,Swimming,3,4,4,11
1896,Men,Tennis,4,3,3,10
1896,Men,Weightlifting,2,2,2,6
1896,Men,Wrestling_Gre-R,1,1,1,3
1900,Men,Archery,5,6,7,18
1900,Men,Artistic_G,1,1,1,3
1900,Men,Athletics,22,27,27,76
1900,Men,Basque_Pelota,0,2,2,4
1900,Men,Cricket,0,12,12,24
1900,Men,Croquet,2,4,2,8
1900,Men,Cycling_Track,2,2,2,6
1900,Men,Fencing,7,7,7,21
1900,Men,Football,11,11,13,35
1900,Men,Golf,1,1,1,3
1900,Men,Jumping,3,4,2,9
1900,Men,Polo,4,4,4,12
1900,Men,Rowing,23,23,22,68
1900,Men,Rugby,0,17,30,47
1900,Men,Sailing,6,9,11,26
1900,Men,Shooting,17,17,18,52
1900,Men,Swimming,11,11,11,33
1900,Men,Tennis,8,4,4,16
1900,Men,Tug_of_War,0,6,6,12
1900,Men,Water_polo,14,7,7,28
1900,Women,Golf,1,1,1,3
1900,Women,Tennis,4,2,2,8
1904,Men,Archery,6,6,6,18
1904,Men,Artistic_G,16,18,14,48
1904,Men,Athletics,24,29,29,82
1904,Men,Boxing,5,7,7,19
1904,Men,Cycling_Track,7,7,7,21
1904,Men,Diving,3,2,2,7
1904,Men,Fencing,4,7,7,18
1904,Men,Football,12,34,11,57
1904,Men,Golf,2,11,11,24
1904,Men,Lacrosse,0,13,13,26
1904,Men,Roque,1,1,1,3
1904,Men,Rowing,9,18,18,45
1904,Men,Swimming,12,12,12,36
1904,Men,Tennis,6,3,3,12
1904,Men,Tug_of_War,5,5,5,15
1904,Men,Weightlifting,2,2,2,6
1904,Men,Wrestling_Free,7,7,7,21
1904,Women,Archery,2,6,4,12
1908,Men,Archery,2,2,2,6
1908,Men,Artistic_G,26,60,33,119
1908,Men,Athletics,30,32,32,94
1908,Men,Boxing,5,5,5,15
1908,Men,Cycling_Track,10,10,10,30
1908,Men,Diving,3,2,2,7
1908,Men,Fencing,11,10,10,31
1908,Men,Figure_skating,3,3,3,9
1908,Men,Football,11,11,11,33
1908,Men,Hockey,0,11,11,22
1908,Men,Jeu_de_Paume,1,1,1,3
1908,Men,Lacrosse,0,15,18,33
1908,Men,Polo,0,4,8,12
1908,Men,Rackets,4,3,3,10
1908,Men,Rowing,24,16,16,56
1908,Men,Rugby,0,15,15,30
1908,Men,Sailing,8,22,18,48
1908,Men,Shooting,35,39,39,113
1908,Men,Swimming,9,9,9,27
1908,Men,Tennis,6,6,6,18
1908,Men,Tug_of_War,9,9,9,27
1908,Men,Water_Motorspor,0,5,0,5
1908,Men,Water_polo,0,7,7,14
1908,Men,Wrestling_Free,5,5,5,15
1908,Men,Wrestling_Gre-R,4,4,4,12
1908,Women,Archery,1,1,1,3
1908,Women,Figure_skating,2,2,2,6
1908,Women,Tennis,2,2,2,6
1912,Men,Artistic_G,68,66,66,200
1912,Men,Athletics,40,44,43,127
1912,Men,Cycling_Road,5,5,5,15
1912,Men,Diving,3,3,3,9
1912,Men,Dressage,1,1,1,3
1912,Men,Eventing,5,5,5,15
1912,Men,Fencing,14,19,18,51
1912,Men,Football,11,11,11,33
1912,Men,Jumping,5,5,5,15
1912,Men,Modern_Pentath,1,1,1,3
1912,Men,Rowing,21,20,20,61
1912,Men,Sailing,22,26,25,73
1912,Men,Shooting,48,48,48,144
1912,Men,Swimming,10,10,10,30
1912,Men,Tennis,8,8,8,24
1912,Men,Tug_of_War,0,8,8,16
1912,Men,Water_polo,7,7,7,21
1912,Men,Wrestling_Gre-R,5,4,6,15
1912,Women,Diving,1,1,1,3
1912,Women,Swimming,5,5,5,15
1912,Women,Tennis,4,4,4,12
1920,Men,Archery,10,41,29,80
1920,Men,Artistic_G,49,77,76,202
1920,Men,Athletics,39,39,39,117
1920,Men,Boxing,8,8,8,24
1920,Men,Cycling_Road,5,5,5,15
1920,Men,Cycling_Track,8,8,8,24
1920,Men,Diving,3,3,3,9
1920,Men,Dressage,0,1,0,1
1920,Men,Eventing,4,4,4,12
1920,Men,Fencing,21,29,26,76
1920,Men,Figure_skating,2,2,2,6
1920,Men,Football,14,14,18,46
1920,Men,Hockey,15,15,12,42
1920,Men,Ice_Hockey,8,8,11,27
1920,Men,Jumping,5,5,5,15
1920,Men,Modern_Pentath,1,1,1,3
1920,Men,Polo,4,4,6,14
1920,Men,Rowing,20,20,20,60
1920,Men,Rugby,0,17,16,33
1920,Men,Sailing,8,65,28,101
1920,Men,Shooting,66,66,66,198
1920,Men,Swimming,10,10,10,30
1920,Men,Tennis,4,4,4,12
1920,Men,Tug_of_War,8,8,8,24
1920,Men,Vaulting,4,6,4,14
1920,Men,Water_polo,9,7,8,24
1920,Men,Weightlifting,5,5,5,15
1920,Men,Wrestling_Free,6,5,5,16
1920,Men,Wrestling_Gre-R,5,5,5,15
1920,Women,Diving,2,2,2,6
1920,Women,Figure_skating,2,2,2,6
1920,Women,Sailing,0,1,0,1
1920,Women,Swimming,6,6,6,18
1920,Women,Tennis,4,4,4,12
1924,Men,Artistic_G,16,16,17,49
1924,Men,Athletics,43,43,42,128
1924,Men,Boxing,8,8,8,24
1924,Men,Cycling_Road,4,4,4,12
1924,Men,Cycling_Track,8,8,8,24
1924,Men,Diving,3,3,3,9
1924,Men,Dressage,1,1,1,3
1924,Men,Eventing,5,5,5,15
1924,Men,Fencing,20,26,23,69
1924,Men,Football,22,22,22,66
1924,Men,Jumping,4,4,4,12
1924,Men,Modern_Pentath,1,1,1,3
1924,Men,Polo,5,6,5,16
1924,Men,Rowing,24,26,26,76
1924,Men,Rugby,23,29,30,82
1924,Men,Sailing,9,9,8,26
1924,Men,Shooting,29,29,30,88
1924,Men,Swimming,11,11,10,32
1924,Men,Tennis,4,4,4,12
1924,Men,Water_polo,11,11,11,33
1924,Men,Weightlifting,5,5,5,15
1924,Men,Wrestling_Free,7,7,7,21
1924,Men,Wrestling_Gre-R,6,6,6,18
1924,Women,Diving,2,2,2,6
1924,Women,Eventing,0,0,1,1
1924,Women,Fencing,1,1,1,3
1924,Women,Swimming,9,10,10,29
1924,Women,Tennis,4,4,4,12
1928,Men,Artistic_G,14,14,14,42
1928,Men,Athletics,28,28,28,84
1928,Men,Boxing,8,8,8,24
1928,Men,Cycling_Road,4,4,4,12
1928,Men,Cycling_Track,9,9,9,27
1928,Men,Diving,2,2,2,6
1928,Men,Dressage,4,4,4,12
1928,Men,Eventing,4,4,4,12
1928,Men,Fencing,14,15,15,44
1928,Men,Football,22,22,22,66
1928,Men,Hockey,22,15,22,59
1928,Men,Jumping,4,4,4,12
1928,Men,Modern_Pentath,1,1,1,3
1928,Men,Rowing,26,26,26,78
1928,Men,Sailing,12,5,12,29
1928,Men,Swimming,9,9,9,27
1928,Men,Water_polo,9,8,7,24
1928,Men,Weightlifting,5,6,4,15
1928,Men,Wrestling_Free,7,7,7,21
1928,Men,Wrestling_Gre-R,6,6,6,18
1928,Women,Artistic_G,12,12,12,36
1928,Women,Athletics,8,8,8,24
1928,Women,Diving,2,2,2,6
1928,Women,Fencing,1,1,1,3
1928,Women,Jumping,1,0,0,1
1928,Women,Sailing,0,1,0,1
1928,Women,Swimming,8,8,8,24
1932,Men,Artistic_G,15,15,15,45
1932,Men,Athletics,29,29,29,87
1932,Men,Boxing,8,8,8,24
1932,Men,Cycling_Road,4,4,4,12
1932,Men,Cycling_Track,8,8,8,24
1932,Men,Diving,2,2,2,6
1932,Men,Dressage,4,4,4,12
1932,Men,Eventing,1,4,4,9
1932,Men,Fencing,21,21,20,62
1932,Men,Hockey,12,11,11,34
1932,Men,Jumping,1,1,1,3
1932,Men,Modern_Pentath,1,1,1,3
1932,Men,Rowing,26,26,26,78
1932,Men,Sailing,7,19,15,41
1932,Men,Shooting,2,2,2,6
1932,Men,Swimming,9,9,9,27
1932,Men,Water_polo,7,10,8,25
1932,Men,Weightlifting,5,5,5,15
1932,Men,Wrestling_Free,7,7,7,21
1932,Men,Wrestling_Gre-R,7,7,7,21
1932,Women,Athletics,9,9,9,27
1932,Women,Diving,2,2,2,6
1932,Women,Fencing,1,1,1,3
1932,Women,Swimming,8,8,8,24
1936,Men,Artistic_G,16,15,15,46
1936,Men,Athletics,29,29,29,87
1936,Men,Basketball,11,14,9,34
1936,Men,Boxing,8,8,8,24
1936,Men,Canoe___Kayak_F,14,14,14,42
1936,Men,Cycling_Road,4,4,4,12
1936,Men,Cycling_Track,8,8,8,24
1936,Men,Diving,2,2,2,6
1936,Men,Dressage,4,4,4,12
1936,Men,Eventing,4,4,4,12
1936,Men,Fencing,21,21,21,63
1936,Men,Football,14,14,13,41
1936,Men,Handball,17,22,22,61
1936,Men,Hockey,12,19,22,53
1936,Men,Jumping,5,5,5,15
1936,Men,Modern_Pentath,1,1,1,3
1936,Men,Polo,4,4,4,12
1936,Men,Rowing,26,26,26,78
1936,Men,Sailing,14,14,14,42
1936,Men,Shooting,3,3,3,9
1936,Men,Swimming,9,9,9,27
1936,Men,Water_polo,9,11,11,31
1936,Men,Weightlifting,5,6,4,15
1936,Men,Wrestling_Free,7,7,7,21
1936,Men,Wrestling_Gre-R,7,7,7,21
1936,Women,Artistic_G,8,8,8,24
1936,Women,Athletics,9,9,9,27
1936,Women,Diving,2,2,2,6
1936,Women,Fencing,1,1,1,3
1936,Women,Swimming,8,8,8,24
1948,Men,Artistic_G,17,17,14,48
1948,Men,Athletics,30,30,30,90
1948,Men,Basketball,12,14,14,40
1948,Men,Boxing,8,8,8,24
1948,Men,Canoe___Kayak_F,12,12,12,36
1948,Men,Cycling_Road,4,4,4,12
1948,Men,Cycling_Track,8,8,8,24
1948,Men,Diving,2,2,2,6
1948,Men,Dressage,4,4,4,12
1948,Men,Eventing,4,4,4,12
1948,Men,Fencing,21,21,21,63
1948,Men,Football,14,12,15,41
1948,Men,Hockey,12,20,12,44
1948,Men,Jumping,4,4,4,12
1948,Men,Modern_Pentath,1,1,1,3
1948,Men,Rowing,26,26,26,78
1948,Men,Sailing,13,13,14,40
1948,Men,Shooting,4,4,4,12
1948,Men,Swimming,9,9,9,27
1948,Men,Water_polo,9,9,10,28
1948,Men,Weightlifting,6,6,6,18
1948,Men,Wrestling_Free,8,8,8,24
1948,Men,Wrestling_Gre-R,8,8,8,24
1948,Women,Artistic_G,8,8,8,24
1948,Women,Athletics,12,12,12,36
1948,Women,Canoe___Kayak_F,1,1,1,3
1948,Women,Diving,2,2,2,6
1948,Women,Fencing,1,1,1,3
1948,Women,Swimming,8,8,8,24
1952,Men,Artistic_G,14,15,18,47
1952,Men,Athletics,30,30,30,90
1952,Men,Basketball,12,14,14,40
1952,Men,Boxing,20,10,10,40
1952,Men,Canoe___Kayak_F,12,12,12,36
1952,Men,Cycling_Road,4,4,4,12
1952,Men,Cycling_Track,8,8,8,24
1952,Men,Diving,2,2,2,6
1952,Men,Dressage,3,4,3,10
1952,Men,Eventing,4,4,4,12
1952,Men,Fencing,21,21,21,63
1952,Men,Football,12,15,11,38
1952,Men,Hockey,13,14,11,38
1952,Men,Jumping,4,4,4,12
1952,Men,Modern_Pentath,4,4,4,12
1952,Men,Rowing,26,26,26,78
1952,Men,Sailing,14,15,13,42
1952,Men,Shooting,7,7,7,21
1952,Men,Swimming,9,9,9,27
1952,Men,Water_polo,11,13,9,33
1952,Men,Weightlifting,7,7,7,21
1952,Men,Wrestling_Free,8,8,8,24
1952,Men,Wrestling_Gre-R,8,8,8,24
1952,Women,Artistic_G,21,21,21,63
1952,Women,Athletics,12,12,12,36
1952,Women,Canoe___Kayak_F,1,1,1,3
1952,Women,Diving,2,2,2,6
1952,Women,Dressage,1,0,1,2
1952,Women,Fencing,1,1,1,3
1952,Women,Sailing,0,1,1,2
1952,Women,Swimming,8,8,8,24
1956,Men,Artistic_G,14,14,14,42
1956,Men,Athletics,31,30,30,91
1956,Men,Basketball,12,12,12,36
1956,Men,Boxing,20,10,10,40
1956,Men,Canoe___Kayak_F,12,12,12,36
1956,Men,Cycling_Road,4,4,4,12
1956,Men,Cycling_Track,8,8,8,24
1956,Men,Diving,2,2,2,6
1956,Men,Dressage,3,4,0,7
1956,Men,Eventing,4,4,4,12
1956,Men,Fencing,19,21,21,61
1956,Men,Football,14,18,14,46
1956,Men,Hockey,11,17,14,42
1956,Men,Jumping,3,4,4,11
1956,Men,Modern_Pentath,4,4,4,12
1956,Men,Rowing,26,26,26,78
1956,Men,Sailing,11,11,12,34
1956,Men,Shooting,7,7,7,21
1956,Men,Swimming,10,10,10,30
1956,Men,Water_polo,10,11,8,29
1956,Men,Weightlifting,7,7,7,21
1956,Men,Wrestling_Free,8,8,8,24
1956,Men,Wrestling_Gre-R,8,8,8,24
1956,Women,Artistic_G,23,18,17,58
1956,Women,Athletics,11,12,13,36
1956,Women,Canoe___Kayak_F,1,1,1,3
1956,Women,Diving,2,2,2,6
1956,Women,Dressage,1,0,6,7
1956,Women,Eventing,0,0,2,2
1956,Women,Fencing,1,1,1,3
1956,Women,Jumping,1,3,0,4
1956,Women,Swimming,9,9,9,27
1960,Men,Artistic_G,14,15,11,40
1960,Men,Athletics,30,30,30,90
1960,Men,Basketball,12,12,12,36
1960,Men,Boxing,20,10,10,40
1960,Men,Canoe___Kayak_F,10,10,10,30
1960,Men,Cycling_Road,5,5,5,15
1960,Men,Cycling_Track,8,8,8,24
1960,Men,Diving,2,2,2,6
1960,Men,Dressage,1,1,1,3
1960,Men,Eventing,4,4,4,12
1960,Men,Fencing,17,20,20,57
1960,Men,Football,17,16,12,45
1960,Men,Hockey,14,13,13,40
1960,Men,Jumping,4,4,4,12
1960,Men,Modern_Pentath,4,4,4,12
1960,Men,Rowing,26,26,26,78
1960,Men,Sailing,11,11,11,33
1960,Men,Shooting,6,6,6,18
1960,Men,Swimming,14,14,14,42
1960,Men,Water_polo,12,12,11,35
1960,Men,Weightlifting,7,7,7,21
1960,Men,Wrestling_Free,8,8,8,24
1960,Men,Wrestling_Gre-R,8,8,8,24
1960,Women,Artistic_G,11,11,11,33
1960,Women,Athletics,12,13,14,39
1960,Women,Canoe___Kayak_F,3,3,3,9
1960,Women,Diving,2,2,2,6
1960,Women,Fencing,6,7,6,19
1960,Women,Swimming,13,13,13,39
1964,Men,Artistic_G,11,13,16,40
1964,Men,Athletics,30,30,30,90
1964,Men,Basketball,12,12,12,36
1964,Men,Boxing,20,10,10,40
1964,Men,Canoe___Kayak_F,10,10,10,30
1964,Men,Cycling_Road,5,5,5,15
1964,Men,Cycling_Track,9,9,9,27
1964,Men,Diving,2,2,2,6
1964,Men,Dressage,4,4,3,11
1964,Men,Eventing,4,4,4,12
1964,Men,Fencing,18,18,18,54
1964,Men,Football,19,14,17,50
1964,Men,Hockey,14,15,16,45
1964,Men,Judo,8,4,4,16
1964,Men,Jumping,4,4,3,11
1964,Men,Modern_Pentath,4,4,4,12
1964,Men,Rowing,26,26,26,78
1964,Men,Sailing,11,11,11,33
1964,Men,Shooting,6,6,6,18
1964,Men,Swimming,19,19,19,57
1964,Men,Volleyball,12,12,12,36
1964,Men,Water_polo,11,12,11,34
1964,Men,Weightlifting,7,7,7,21
1964,Men,Wrestling_Free,8,8,8,24
1964,Men,Wrestling_Gre-R,8,8,8,24
1964,Women,Artistic_G,10,11,12,33
1964,Women,Athletics,15,15,15,45
1964,Women,Canoe___Kayak_F,3,3,3,9
1964,Women,Diving,2,2,2,6
1964,Women,Dressage,0,0,1,1
1964,Women,Fencing,5,6,6,17
1964,Women,Jumping,0,0,1,1
1964,Women,Swimming,14,14,14,42
1964,Women,Volleyball,12,12,12,36
1968,Men,Artistic_G,13,14,12,39
1968,Men,Athletics,30,30,30,90
1968,Men,Basketball,12,12,12,36
1968,Men,Boxing,22,11,11,44
1968,Men,Canoe___Kayak_F,10,10,10,30
1968,Men,Cycling_Road,5,5,5,15
1968,Men,Cycling_Track,9,9,9,27
1968,Men,Diving,2,2,2,6
1968,Men,Dressage,3,3,3,9
1968,Men,Eventing,4,4,4,12
1968,Men,Fencing,18,18,18,54
1968,Men,Football,16,17,18,51
1968,Men,Hockey,15,13,14,42
1968,Men,Jumping,4,4,2,10
1968,Men,Modern_Pentath,4,4,4,12
1968,Men,Rowing,26,26,26,78
1968,Men,Sailing,11,11,11,33
1968,Men,Shooting,7,7,7,21
1968,Men,Swimming,24,24,24,72
1968,Men,Volleyball,12,12,12,36
1968,Men,Water_polo,11,11,11,33
1968,Men,Weightlifting,7,7,7,21
1968,Men,Wrestling_Free,8,8,8,24
1968,Men,Wrestling_Gre-R,8,8,8,24
1968,Women,Artistic_G,11,12,10,33
1968,Women,Athletics,15,15,15,45
1968,Women,Canoe___Kayak_F,3,3,3,9
1968,Women,Diving,2,2,2,6
1968,Women,Dressage,1,1,1,3
1968,Women,Fencing,6,6,6,18
1968,Women,Jumping,0,0,2,2
1968,Women,Swimming,20,20,20,60
1968,Women,Volleyball,12,12,12,36
1972,Men,Archery,1,1,1,3
1972,Men,Artistic_G,13,13,13,39
1972,Men,Athletics,30,30,30,90
1972,Men,Basketball,12,12,12,36
1972,Men,Boxing,22,11,11,44
1972,Men,Canoe___Kayak_F,10,10,10,30
1972,Men,Canoe___Kayak_S,4,4,4,12
1972,Men,Cycling_Road,0,5,5,10
1972,Men,Cycling_Track,9,9,9,27
1972,Men,Diving,2,2,2,6
1972,Men,Dressage,1,2,1,4
1972,Men,Eventing,5,3,5,13
1972,Men,Fencing,18,18,18,54
1972,Men,Football,36,17,17,70
1972,Men,Handball,15,14,16,45
1972,Men,Hockey,14,18,15,47
1972,Men,Judo,12,6,5,23
1972,Men,Jumping,5,5,3,13
1972,Men,Modern_Pentath,4,4,4,12
1972,Men,Rowing,26,26,26,78
1972,Men,Sailing,13,13,13,39
1972,Men,Shooting,8,8,8,24
1972,Men,Swimming,24,24,24,72
1972,Men,Volleyball,12,12,12,36
1972,Men,Water_polo,11,11,11,33
1972,Men,Weightlifting,9,9,9,27
1972,Men,Wrestling_Free,10,10,10,30
1972,Men,Wrestling_Gre-R,10,10,10,30
1972,Women,Archery,1,1,1,3
1972,Women,Artistic_G,10,11,12,33
1972,Women,Athletics,20,20,20,60
1972,Women,Canoe___Kayak_F,3,3,3,9
1972,Women,Canoe___Kayak_S,1,1,1,3
1972,Women,Diving,2,2,2,6
1972,Women,Dressage,3,2,3,8
1972,Women,Eventing,0,2,0,2
1972,Women,Fencing,5,6,6,17
1972,Women,Jumping,0,0,2,2
1972,Women,Swimming,20,20,20,60
1972,Women,Volleyball,11,12,12,35
1976,Men,Archery,1,1,1,3
1976,Men,Artistic_G,15,13,13,41
1976,Men,Athletics,29,29,29,87
1976,Men,Basketball,12,12,12,36
1976,Men,Boxing,22,11,11,44
1976,Men,Canoe___Kayak_F,16,16,16,48
1976,Men,Cycling_Road,5,5,5,15
1976,Men,Cycling_Track,7,7,7,21
1976,Men,Diving,2,2,2,6
1976,Men,Dressage,1,2,2,5
1976,Men,Eventing,5,4,5,14
1976,Men,Fencing,18,18,17,53
1976,Men,Football,17,17,17,51
1976,Men,Handball,14,14,14,42
1976,Men,Hockey,16,16,16,48
1976,Men,Judo,12,6,6,24
1976,Men,Jumping,5,5,5,15
1976,Men,Modern_Pentath,4,4,4,12
1976,Men,Rowing,30,30,30,90
1976,Men,Sailing,12,12,12,36
1976,Men,Shooting,7,7,6,20
1976,Men,Swimming,19,19,19,57
1976,Men,Volleyball,12,12,12,36
1976,Men,Water_polo,11,11,11,33
1976,Men,Weightlifting,9,9,9,27
1976,Men,Wrestling_Free,10,10,10,30
1976,Men,Wrestling_Gre-R,10,10,10,30
1976,Women,Archery,1,1,1,3
1976,Women,Artistic_G,10,11,12,33
1976,Women,Athletics,20,20,20,60
1976,Women,Basketball,12,12,12,36
1976,Women,Canoe___Kayak_F,3,3,3,9
1976,Women,Diving,2,2,2,6
